date_key,date,year,quarter,month,month_name,day,weekday_name,is_weekend
20180130,2018-01-30,2018,1,1,January,30,Tuesday,False
20180131,2018-01-31,2018,1,1,January,31,Wednesday,False
20180201,2018-02-01,2018,1,2,February,1,Thursday,False
20180202,2018-02-02,2018,1,2,February,2,Friday,False
20180203,2018-02-03,2018,1,2,February,3,Saturday,True
20180204,2018-02-04,2018,1,2,February,4,Sunday,True
20180205,2018-02-05,2018,1,2,February,5,Monday,False
20180206,2018-02-06,2018,1,2,February,6,Tuesday,False
20180207,2018-02-07,2018,1,2,February,7,Wednesday,False
20180208,2018-02-08,2018,1,2,February,8,Thursday,False
20180209,2018-02-09,2018,1,2,February,9,Friday,False
20180210,2018-02-10,2018,1,2,February,10,Saturday,True
20180211,2018-02-11,2018,1,2,February,11,Sunday,True
20180212,2018-02-12,2018,1,2,February,12,Monday,False
20180213,2018-02-13,2018,1,2,February,13,Tuesday,False
20180214,2018-02-14,2018,1,2,February,14,Wednesday,False
20180215,2018-02-15,2018,1,2,February,15,Thursday,False
20180216,2018-02-16,2018,1,2,February,16,Friday,False
20180217,2018-02-17,2018,1,2,February,17,Saturday,True
20180218,2018-02-18,2018,1,2,February,18,Sunday,True
20180219,2018-02-19,2018,1,2,February,19,Monday,False
20180220,2018-02-20,2018,1,2,February,20,Tuesday,False
20180221,2018-02-21,2018,1,2,February,21,Wednesday,False
20180222,2018-02-22,2018,1,2,February,22,Thursday,False
20180223,2018-02-23,2018,1,2,February,23,Friday,False
20180224,2018-02-24,2018,1,2,February,24,Saturday,True
20180225,2018-02-25,2018,1,2,February,25,Sunday,True
20180226,2018-02-26,2018,1,2,February,26,Monday,False
20180227,2018-02-27,2018,1,2,February,27,Tuesday,False
20180228,2018-02-28,2018,1,2,February,28,Wednesday,False
20180301,2018-03-01,2018,1,3,March,1,Thursday,False
20180302,2018-03-02,2018,1,3,March,2,Friday,False
20180303,2018-03-03,2018,1,3,March,3,Saturday,True
20180304,2018-03-04,2018,1,3,March,4,Sunday,True
20180305,2018-03-05,2018,1,3,March,5,Monday,False
20180306,2018-03-06,2018,1,3,March,6,Tuesday,False
